descriptions,General,User,javot
,General,DateTime,7/17/2026 10:46:33 AM
,General,Origin,"Software revision: outputs_asymmetricspring.sdf, outputs_asymmetricspring.rta\nVariable description: outputs_asymmetricspring.sdf\n    Platform / Device: Platform [DS1202 MicroLabBox, assigned to 'ds1202']\nControlDesk version: 7.5"
,General,Description,
,Recording,StartCondition,None (Immediate Recording)
,Recording,StopCondition,None
,Measurement,XAxisOffset,0
,Measurement,Length,20.59755245
,Measurement,StartTimestamp,0.6750186704
,Measurement,StopTimestamp,21.27257112
,MDF,Department,
,MDF,Project,
,MDF,MeasurementObject,

trace_size,20598
trace_types,4,4,4,4,4
trace_names,,Out1,Out1,Out1,Out1
trace_units,,,,,
devices,Platform,Platform,Platform,Platform,Platform
raster,HostService,HostService,HostService,HostService,HostService
description,,,,,
displayidentifier,,,,,
path,,Model Root/Divide,Model Root/Subsystem2/curr2torque,Model Root/Subsystem2/Shift,Model Root/Subsystem2/Shift1
flags,,0,0,0,0
min,,-Infinity,-Infinity,-Infinity,-Infinity
max,,Infinity,Infinity,Infinity,Infinity
minWeak,,-Infinity,-Infinity,-Infinity,-Infinity
maxWeak,,Infinity,Infinity,Infinity,Infinity
,0.24200637733154295,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.24300588399658207,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.24400655069580079,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.24500649738769531,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.24600600405273443,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.24700595073242193,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.24800657742919929,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.2490065241088868,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.25000671080322268,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.25100665748291018,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.25200668416748051,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.25300615083007816,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.25400673753662117,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.25500604418945316,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.25600687089843754,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.25700689758300788,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.25800632425537118,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.25900631093750004,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.26000697763671876,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.26100692431640626,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.26200635097656255,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.26300637766113288,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.26400704436035161,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.26500655103759774,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.2660070577270508,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.26700640439453127,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.26800719110107429,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
